门店ID,排名,地点名称,距离(km),配送次数
CDW22,1,成都IFS三号办公楼,0.15,4
GZW13,1,万科东荟城C区,3.33,7
GZW13,2,早喷广场,1.08,5
GZW13,3,广州开发区科技企业孵化器,3.87,4
GZW13,4,合生中央城兰翠花园,3.46,4
GZW13,5,保利罗兰国际2期,1.22,4
GZW13,6,至泰广场,0.41,4
GZW13,7,名创优品(锐丰广场店),2.28,4
GZW13,8,保利·罗兰国际4期,1.49,3
GZW13,9,科城山庄·峻森园3期,1.66,3
GZW13,10,保利·罗兰国际3期,0.87,3
GZW13,11,中集大湾区国际人才创业园,5.07,3
GZW13,12,未来家公寓(PCI未来社区科学城店),1.78,3
GZW13,13,大塱罗北花园,1.0,3
GZW13,14,香雪时光,0.13,3
GZW13,15,线坑花园,1.02,3
GZW13,16,心安国际公寓广州01店,2.35,3
GZW13,17,保利·罗兰国际4期,1.53,3
GZW13,18,爱孚森英语(萝岗奥园广场店),1.91,3
GZW13,19,新福港·鼎峰,0.81,3
GZW13,20,萝岗敏捷广场D3号楼,1.79,3
GZW13,21,保利·罗兰国际3期,0.91,3
GZW13,22,保利·罗兰国际3期,0.86,3
GZW13,23,未来家公寓(PCI未来社区科学城店),1.72,3
GZW13,24,穆兰拉面(大壮国际广场店),1.72,2
GZW13,25,广州高新技术产业开发区,0.58,2
GZW13,26,香雪时光,0.08,2
GZW13,27,暹岗花园,2.13,2
GZW13,28,深澜创意园,3.25,2
GZW13,29,科城山庄·锦泽园,1.4,2
GZW13,30,保利越秀·岭南林语花园,4.64,2
GZW13,31,科学城产业总部港,3.05,2
GZW13,32,创造者园区,4.0,2
GZW13,33,万科新里程,3.65,2
GZW13,34,保利·罗兰国际3期,0.88,2
GZW13,35,星河湾萝峰-星璟苑,4.25,2
GZW13,36,保利罗兰国际2期,1.16,2
GZW13,37,萝岗敏捷广场D2号楼,1.83,2
GZW13,38,香雪时光,0.13,2
GZW13,39,保利·罗兰国际4期,1.51,2
GZW13,40,科城山庄·锦泽园,1.64,2
GZW13,41,客家大世面(萝岗敏捷广场店),1.47,2
GZW13,42,保利·罗兰国际1期,0.89,2
GZW13,43,新福港·鼎峰,0.78,2
GZW13,44,线坑花园,1.03,2
GZW13,45,名创优品(锐丰广场店),2.21,2
GZW13,46,大塱罗北花园,1.03,2
GZW13,47,悦颜本草茶馆(宝能文化广场店),0.53,2
GZW13,48,佰合国际公寓(广州香雪地铁站萝岗奥园广场店),1.84,2
GZW13,49,燕山回迁安置房3栋,1.43,2
GZW13,50,通巴达科技产业园,3.74,2
BJW81,1,过锅瘾三汁焖锅(北投新奥购物中心店),0.23,5
BJW81,2,华馨公寓(北门),0.94,5
BJW81,3,北辰中心D座,0.69,4
BJW81,4,京版大厦D座,3.52,4
BJW81,5,国家网球中心南广场,2.71,3
BJW81,6,北辰世纪中心A座2号楼,0.53,3
BJW81,7,CHAGEE霸王茶姬(北京北辰荟购物中心店),0.61,3
BJW81,8,天和人家,1.6,3
BJW81,9,科学园社区,0.72,2
BJW81,10,天和人家,1.67,2
BJW81,11,北辰世纪中心底商,0.48,2
BJW81,12,光环电信大厦,1.22,2
BJW81,13,健康智谷,2.99,2
BJW81,14,中科院华严北里小区,1.92,2
BJW81,15,北辰中心F座,0.81,2
BJW81,16,科学园南里五区,0.89,2
BJW81,17,中国科学院奥运村科技园,1.04,2
BJW81,18,亚洲金融大厦(北门),1.17,2
BJW81,19,中鑫嘉园二期,2.45,2
BJW81,20,华亭嘉园,1.66,2
BJW81,21,北辰汇欣大厦A座,0.99,2
BJW81,22,中国共产党历史展览馆西广场,0.59,2
BJW81,23,亚洲金融大厦,1.06,2
BJW81,24,绿城·北京诚园,1.38,2
BJW81,25,北辰汇园国际公寓F座,1.19,2
BJW81,26,奥林匹克公园中心区,0.2,2
BJW81,27,华悦国际公寓(北1门),1.99,2
BJW81,28,学院国际大厦,4.22,2
BJW81,29,数字北京大厦,0.44,2
BJW81,30,中国科学院微生物研究所F座,0.87,2
BJW81,31,北京酒店式公寓(北沙滩路分店),2.03,2
BJW81,32,风林绿洲,0.87,2
BJW81,33,华仑大厦A座,3.75,1
BJW81,34,北辰中心G座,0.53,1
BJW81,35,北辰中心F座,0.66,1
BJW81,36,西奥中心A座,1.09,1
BJW81,37,中国科学院大学奥运村校区家属楼,1.37,1
BJW81,38,北沙滩7号院,2.05,1
BJW81,39,国奥村西区,1.65,1
BJW81,40,林萃西里三期东区,2.37,1
BJW81,41,启明国际大厦A座,7.06,1
BJW81,42,德国科德曼步态健康中心(北投新奥购物中心店),0.1,1
BJW81,43,五建小区,1.56,1
BJW81,44,花虎沟7号院,3.23,1
BJW81,45,健翔园社区居委会(海科创业大厦北),2.0,1
BJW81,46,老故事503文创园109号楼,0.98,1
BJW81,47,清林苑,3.67,1
BJW81,48,华亭嘉园,1.52,1
BJW81,49,龙岗安居里,4.62,1
BJW81,50,亚奥人家,1.26,1
SZW25,1,上步管理大厦,0.41,9
SZW25,2,中联电子大厦,0.85,8
SZW25,3,京基100大厦,2.18,7
SZW25,4,长泰花园,0.1,7
SZW25,5,群星广场A座,0.27,7
SZW25,6,士必达大厦,0.96,6
SZW25,7,深圳万象城(罗湖店)-2期,2.88,6
SZW25,8,美国·卡斯特兰(艺展中心店),2.2,6
SZW25,9,汇展阁大厦,3.64,5
SZW25,10,城脉中心,2.01,5
SZW25,11,上步信托大楼东座,0.97,5
SZW25,12,中信国际大厦·信悦汇,1.42,5
SZW25,13,华润·银湖蓝山,2.44,5
SZW25,14,深业上林苑,1.63,5
SZW25,15,诺德中心,2.53,5
SZW25,16,万科深南广场,4.31,5
SZW25,17,海馨苑,0.32,4
SZW25,18,世纪汇广场,1.12,4
SZW25,19,深物业·彩天怡色家园,2.41,4
SZW25,20,国速中心,2.17,4
SZW25,21,华润大厦,2.63,4
SZW25,22,福田村大门坊,2.28,4
SZW25,23,南光大厦,1.12,4
SZW25,24,恒邦壹峰,0.88,4
SZW25,25,阁林网苑,0.77,4
SZW25,26,福田村大门坊,2.32,4
SZW25,27,鹏盛村,1.64,4
SZW25,28,电子科技大厦A座,1.06,4
SZW25,29,中航凯特公寓,2.2,4
SZW25,30,南国大厦,1.79,4
SZW25,31,京基100大厦,2.17,4
SZW25,32,赛格广场,1.04,4
SZW25,33,福星花园大厦,1.74,3
SZW25,34,恒大天玺公馆,2.6,3
SZW25,35,城市主场,1.19,3
SZW25,36,万德居,2.05,3
SZW25,37,缙山府,1.92,3
SZW25,38,华润·银湖蓝山,2.37,3
SZW25,39,长盛大厦,0.01,3
SZW25,40,深圳市第二人民医院家属区,0.76,3
SZW25,41,富民外贸城,0.42,3
SZW25,42,银荔大厦,1.76,3
SZW25,43,颐园,2.86,3
SZW25,44,阁林网苑,0.81,3
SZW25,45,大滩大厦,3.48,3
SZW25,46,百花公寓,0.6,3
SZW25,47,八卦岭工业区四区南区421栋,1.58,3
SZW25,48,赛格科技园4栋中座,0.45,3
SZW25,49,地质大厦(燕南路),0.76,3
SZW25,50,银海大厦(振华路),0.76,3
BJW80,1,邮电出版大厦,1.32,24
BJW80,2,方庄六号,0.94,18
BJW80,3,芳城园三区,0.15,17
BJW80,4,紫芳园三区,0.5,15
BJW80,5,政馨园二区,2.04,15
BJW80,6,东叁金茂府南区,2.38,15
BJW80,7,泊寓(北京成寿寺店),0.81,15
BJW80,8,泊寓(北京成寿寺店),0.88,13
BJW80,9,中海城紫鑫阁,2.49,13
BJW80,10,成寿寺东里,1.56,13
BJW80,11,横一条甲18号院,1.56,13
BJW80,12,紫芳园三区,0.4,13
BJW80,13,紫芳园四区,0.56,12
BJW80,14,芳城园一区,0.43,12
BJW80,15,成寿寺小区2期,1.67,12
BJW80,16,诚至小区,1.39,11
BJW80,17,北京金茂府二期,2.53,11
BJW80,18,彩虹城,3.39,10
BJW80,19,四方景园社区,1.1,10
BJW80,20,汇馨商务酒店(北京南站刘家窑方庄地铁站店),0.81,10
BJW80,21,方庄六号,0.87,9
BJW80,22,鲁能钓鱼台美高梅别墅,2.44,9
BJW80,23,金城中心,0.77,9
BJW80,24,扑满山写字楼,2.35,9
BJW80,25,味多美(方庄购物中心店),0.71,9
BJW80,26,金茂府,2.69,9
BJW80,27,嘉业大厦2期2号楼,1.19,9
BJW80,28,方兴商厦,0.46,9
BJW80,29,北京金茂府二期,2.53,9
BJW80,30,芳星园二区甲3号院,0.16,9
BJW80,31,北京楠树酒店(宋家庄地铁站鸿禧阁大厦店),2.12,8
BJW80,32,紫芳园三区,0.41,8
BJW80,33,龙头公寓,2.54,8
BJW80,34,中海城圣朝菲,3.27,8
BJW80,35,顺四条甲20号院,1.55,8
BJW80,36,世华水岸B区东区,3.38,8
BJW80,37,首开·璞瑅公馆西区,0.61,8
BJW80,38,北京汽车大厦,2.21,8
BJW80,39,天坛府小区二期(北门),2.19,8
BJW80,40,紫芳园,0.83,8
BJW80,41,福海小区北区,4.21,8
BJW80,42,向新西里,0.87,8
BJW80,43,伟图大厦,1.91,8
BJW80,44,GOGO新世代,1.09,8
BJW80,45,尚韵轩博物馆(左安漪园小区店),0.93,8
BJW80,46,中海城风情苑北区,2.64,8
BJW80,47,北京市城市照明管理中心D座,0.54,8
BJW80,48,芳城园二区,0.4,8
BJW80,49,泊寓(北京成寿寺店),0.84,8
BJW80,50,成寿寺东里,1.66,8
SHW148,1,和顺欣苑(西区),4.03,4
SHW148,2,雪满天粗粮海鲜配(界龙生活广场店),7.59,3
SHW148,3,浦发檀府,4.54,3
SHW148,4,金爵别墅,2.86,2
SHW148,5,张江高科·集贤天地F幢,0.59,2
SHW148,6,江空间日月光中心,0.28,2
SHW148,7,礼德国际,1.04,2
SHW148,8,融创未来金融城·悦融雅筑B区,4.96,2
SHW148,9,展想中心,1.46,2
SHW148,10,集电路266弄1-12号,0.85,2
SHW148,11,张江国创中心1期,0.87,2
SHW148,12,浦发檀府,4.51,2
SHW148,13,绿城·玉兰公馆,2.08,2
SHW148,14,张江集电港10号楼,1.32,2
SHW148,15,集贤天地人才公寓·F幢B座,0.66,2
SHW148,16,浦发有家唐镇M寓公寓,4.65,2
SHW148,17,集贤中心C座,0.79,2
SHW148,18,绿波城,3.66,2
SHW148,19,浦发檀府,4.5,2
SHW148,20,阳光城(齐爱路),2.64,2
SHW148,21,[],5.44,2
SHW148,22,浦发檀府,4.6,2
SHW148,23,毕加索小镇,1.89,2
SHW148,24,紫金九号二期,4.06,1
SHW148,25,谷田稻香(唐镇阳光天地购物中心店),2.68,1
SHW148,26,创新佳苑,3.69,1
SHW148,27,融创未来金融城-悦融雅筑A区,4.51,1
SHW148,28,张江公馆,1.66,1
SHW148,29,张润大厦(北门),0.32,1
SHW148,30,星创科技广场,0.57,1
SHW148,31,上海浦东软件园Y2座,2.82,1
SHW148,32,张江光大园写字楼,0.55,1
SHW148,33,华发·半岛华庭,3.03,1
SHW148,34,星创科技广场,0.51,1
SHW148,35,MORE张江,0.98,1
SHW148,36,张江高科·集睿公寓(建设中),1.24,1
SHW148,37,张江高科·集贤天地D幢,0.73,1
SHW148,38,展想广场1号楼,0.39,1
SHW148,39,张江光大园写字楼,0.52,1
SHW148,40,国创中心,0.79,1
SHW148,41,高迪酒店公寓,0.83,1
SHW148,42,毕加索小镇,1.84,1
SHW148,43,圣御大厦,1.45,1
SHW148,44,保利金爵公寓(东南门),2.91,1
SHW148,45,涛飞国际广场B区,4.4,1
SHW148,46,小影公寓(东蒋家宅31号),1.21,1
SHW148,47,展想广场3幢,0.48,1
SHW148,48,棕榈泉花园-1至3期,2.62,1
SHW148,49,伽利略商务公馆,2.11,1
SHW148,50,中科路2500弄,2.8,1
SUZW10,1,金海华·悦食东方(苏州中心商场店),0.49,29
SUZW10,2,苏州中心A座,0.12,24
SUZW10,3,澜韵园,1.01,15
SUZW10,4,苏州中心A座,0.11,15
SUZW10,5,苏州中心南区,0.51,14
SUZW10,6,苏州中心广场南区9座,0.44,13
SUZW10,7,中茵·皇冠国际,0.59,12
SUZW10,8,世纪广场,0.29,11
SUZW10,9,湖左岸3期,0.82,11
SUZW10,10,苏州馨乐庭星海公寓酒店(苏州中心店),1.1,10
SUZW10,11,师惠花苑,1.06,10
SUZW10,12,共享家公寓,1.71,9
SUZW10,13,天域东区,0.3,8
SUZW10,14,正雄中心,2.08,8
SUZW10,15,中铁二局生活区,1.66,8
SUZW10,16,苏州中心商场,0.17,8
SUZW10,17,玲珑湾花园四区,1.92,8
SUZW10,18,东方华府,0.27,7
SUZW10,19,苏州中心南区,0.52,7
SUZW10,20,凤凰国际大厦(星桂街),0.96,6
SUZW10,21,新加花园3期,0.8,6
SUZW10,22,苏州中心广场办公楼D座,0.42,6
SUZW10,23,倍轻松(苏州中心商场),0.12,6
SUZW10,24,中茵·皇冠国际,0.42,5
SUZW10,25,江苏省苏州市工业园区苏州中心办公楼C座,0.09,5
SUZW10,26,恒宇广场A座,0.63,5
SUZW10,27,共享家公寓,1.67,5
SUZW10,28,中茵·皇冠国际,0.59,5
SUZW10,29,馨湖园,1.12,5
SUZW10,30,南岸新地二期,1.68,5
SUZW10,31,交通银行苏州分行大厦,0.46,5
SUZW10,32,贵都花园,1.79,5
SUZW10,33,森鹿公园,0.37,5
SUZW10,34,南岸新地,1.64,5
SUZW10,35,天域东区,0.4,4
SUZW10,36,水云居东区,2.9,4
SUZW10,37,星海国际广场,0.66,4
SUZW10,38,星悦汇,0.11,4
SUZW10,39,群星苑三区,4.7,4
SUZW10,40,中银惠龙大厦,0.53,4
SUZW10,41,中海财富中心西塔,0.65,4
SUZW10,42,苏州中心8号公寓,0.49,4
SUZW10,43,屈臣氏(苏州中心广场店),0.11,4
SUZW10,44,苏州中心A座,0.12,4
SUZW10,45,中海财富中心西塔,0.6,4
SUZW10,46,湖左岸小区(2号门),0.8,4
SUZW10,47,群星苑三区,4.55,4
SUZW10,48,国际大厦,0.32,4
SUZW10,49,[],2.76,4
SUZW10,50,玲珑湾花园九、十区,1.72,4
SZW24,1,深圳华为坂田园区F区F1座,1.32,47
SZW24,2,天安云谷曼哈顿公寓(坂云路分店),0.28,33
SZW24,3,华为金园公寓,0.81,28
SZW24,4,泊悦·晨汐行政公寓(深圳三一云都店),3.0,16
SZW24,5,天安云谷二期6栋东座,0.16,16
SZW24,6,戴维斯国际公寓(深圳坂田华为天安云谷店),0.59,16
SZW24,7,有所为大厦,1.14,15
SZW24,8,华为工业区,1.63,15
SZW24,9,大白之家公寓(天安云谷产业园店),0.27,14
SZW24,10,天安云谷一期3栋A座,0.17,14
SZW24,11,岗头金园公寓1栋,0.79,14
SZW24,12,佳兆业·中央广场三期(东门),1.09,13
SZW24,13,天安云谷3栋B座,0.11,13
SZW24,14,源创空间雪象园,1.09,13
SZW24,15,云谷星耀,0.27,12
SZW24,16,岗头同富裕工业区,0.2,12
SZW24,17,邦拓美诺行政公寓(深圳坂田华为店),0.71,11
SZW24,18,天安云谷一期3栋A座,0.11,11
SZW24,19,天安云谷1栋A座,0.15,10
SZW24,20,云谷星寓公寓(居里夫人大道分店),0.18,10
SZW24,21,天安云谷一期3栋A座,0.15,10
SZW24,22,天安云谷一期,0.11,10
SZW24,23,深圳云谷曼骊行政公寓(华为天安云谷店),0.19,9
SZW24,24,佳兆业·中央广场三期(东南门),0.94,9
SZW24,25,岗头公寓A1号楼,1.27,9
SZW24,26,佳兆业·中央广场三期(东南门),0.98,9
SZW24,27,深圳华为坂田园区F区F2座,1.08,9
SZW24,28,天安云谷5栋,0.19,9
SZW24,29,天安云谷产业园1期3栋C座,0.06,9
SZW24,30,深圳华为坂田园区B区B3座,1.8,8
SZW24,31,深圳华为坂田基地B区,1.75,8
SZW24,32,秋港花园,1.17,8
SZW24,33,湘厨本味大酒楼(孺子牛大厦店),0.96,8
SZW24,34,金地鹭湖1号院,3.87,8
SZW24,35,金鼎盛科创园,2.33,8
SZW24,36,大白之家公寓(天安云谷产业园店),0.34,8
SZW24,37,岗头科技公园一期,0.94,7
SZW24,38,云谷星寓公寓(居里夫人大道分店),0.17,7
SZW24,39,科尔达大厦,1.03,7
SZW24,40,深圳华为坂田基地H区(软件中心),2.05,7
SZW24,41,仁山智水花园,3.42,7
SZW24,42,天安云谷1栋A座,0.15,7
SZW24,43,天安云谷一期3栋A座,0.1,7
SZW24,44,恒超大厦,0.95,7
SZW24,45,天安云谷一期,0.04,7
SZW24,46,云谷星耀,0.4,7
SZW24,47,深圳华为坂田园区B区B1座,1.71,7
SZW24,48,佳兆业城市广场六期4栋,0.6,7
SZW24,49,秋港花园,1.17,6
SZW24,50,天安云谷1栋A座,0.15,6
BJW78,1,金融街街道商务楼宇党群活动服务中心,2.78,13
BJW78,2,甘家口大厦,0.02,13
BJW78,3,主语家园,1.15,10
BJW78,4,首创·新大都,0.73,8
BJW78,5,易车大楼,1.26,8
BJW78,6,阜光里小区6号楼,1.07,8
BJW78,7,三里河路9号测绘楼,0.47,7
BJW78,8,核建大厦,0.64,7
BJW78,9,车公庄西路12号院,0.62,7
BJW78,10,甘家口8号院,0.23,6
BJW78,11,百万庄卯区,0.29,6
BJW78,12,五矿大厦A座,0.85,6
BJW78,13,增光路40号院,1.08,6
BJW78,14,迈行大厦,0.25,6
BJW78,15,百万庄中里小区,0.41,6
BJW78,16,艾迪尔商务中心,1.5,6
BJW78,17,创元汇大厦,0.61,5
BJW78,18,五福玲珑居南区,4.15,5
BJW78,19,中海馥园,1.04,5
BJW78,20,中国建筑工业出版社新办公楼,0.69,5
BJW78,21,友谊广场,4.2,5
BJW78,22,观园大厦,1.44,5
BJW78,23,气象局小区东区,2.23,5
BJW78,24,甘东社区东区,0.4,5
BJW78,25,百万庄未区,0.73,4
BJW78,26,文兴街3号院,0.96,4
BJW78,27,人济山庄2期,2.35,4
BJW78,28,阜南小区,0.84,4
BJW78,29,车公庄西路20号院,0.81,4
BJW78,30,三里河路9号测绘楼,0.51,4
BJW78,31,景王坟,0.59,4
BJW78,32,国际财经中心D座,2.27,4
BJW78,33,建院二汽家属宿舍,1.14,4
BJW78,34,招商银行大厦,2.35,4
BJW78,35,阜南社区,0.76,4
BJW78,36,观园大厦,1.45,4
BJW78,37,五矿发展B座,0.94,4
BJW78,38,国际传播科技文化园,1.31,4
BJW78,39,首都师范大学北二院女生公寓,2.1,4
BJW78,40,中海国际中心,2.12,4
BJW78,41,舞蹈家苑,2.59,4
BJW78,42,增光路40号院,1.06,4
BJW78,43,车公庄西路12号院,0.71,4
BJW78,44,农行大厦,1.61,4
BJW78,45,扣钟北里东区,0.81,3
BJW78,46,扣钟北里东区,0.81,3
BJW78,47,中知大厦,2.18,3
BJW78,48,甘家口21号楼商务楼,0.3,3
BJW78,49,国兴大厦,0.86,3
BJW78,50,朝阳庵社区,0.72,3
GZBS3,1,广州环贸中心,0.02,29
GZBS3,2,广州环贸中心,0.01,26
GZBS3,3,广州环贸中心,0.1,20
GZBS3,4,日出·观山苑,1.45,20
GZBS3,5,中信大厦,0.22,17
GZBS3,6,寰城中心广场,0.19,16
GZBS3,7,新达城广场南塔,1.31,12
GZBS3,8,中怡城市花园,0.15,11
GZBS3,9,广州环贸中心,0.01,11
GZBS3,10,侨怡苑,0.38,11
GZBS3,11,中信广场,0.22,10
GZBS3,12,环贸天地,0.02,10
GZBS3,13,海航大厦,0.2,9
GZBS3,14,太古汇1座,1.1,9
GZBS3,15,中信广场,0.23,8
GZBS3,16,侨怡苑,0.4,8
GZBS3,17,保利·心语,2.25,8
GZBS3,18,龙口小区,1.31,8
GZBS3,19,协和新世界,1.14,7
GZBS3,20,鸿翔大厦,1.38,7
GZBS3,21,中怡城市花园,0.23,7
GZBS3,22,侨林苑三期,0.44,7
GZBS3,23,盈达创业孵化基地,1.9,7
GZBS3,24,侨林苑三期,0.47,7
GZBS3,25,五所·53科技园,1.8,7
GZBS3,26,小新塘回迁房E区,9.37,7
GZBS3,27,侨鑫·汇景新城,4.35,6
GZBS3,28,都市华庭,0.25,6
GZBS3,29,五山科技广场D座,2.3,6
GZBS3,30,寰城中心广场,0.1,6
GZBS3,31,都市华庭,0.25,6
GZBS3,32,森泰阳台庭院定制(维家思广场店),2.0,6
GZBS3,33,广州国际电子大厦,3.7,6
GZBS3,34,领峰,2.2,6
GZBS3,35,广州烟草大厦,0.96,6
GZBS3,36,电信大厦,0.59,6
GZBS3,37,瑞安·创逸,1.45,6
GZBS3,38,嘉尚国际公寓,0.62,5
GZBS3,39,博纳大厦(天源路辅路),4.41,5
GZBS3,40,陶然庭苑,3.45,5
GZBS3,41,信达金茂广场C座,3.4,5
GZBS3,42,时尚天河美食广场,0.54,5
GZBS3,43,环贸天地,0.06,5
GZBS3,44,冼村复建房,2.12,5
GZBS3,45,农科院小区西19栋,2.33,5
GZBS3,46,峻林,0.64,5
GZBS3,47,侨林苑,0.4,5
GZBS3,48,天河城,1.23,4
GZBS3,49,荟雅苑,0.08,4
GZBS3,50,太古汇2座,1.01,4
SHW146,1,中铁·虹桥逸都,0.82,28
SHW146,2,九溪十八岛,1.52,27
SHW146,3,叶联路社区,2.57,24
SHW146,4,湖畔佳苑别墅,1.2,21
SHW146,5,新虹桥中心,1.29,19
SHW146,6,湖畔佳苑,1.28,19
SHW146,7,虹桥璀璨公馆,0.26,17
SHW146,8,中国北斗产业基地,0.89,15
SHW146,9,西郊丽源,1.41,14
SHW146,10,象屿招商蟠龙府,0.66,13
SHW146,11,虹桥璀璨公馆,0.29,12
SHW146,12,新虹桥雅苑,2.0,11
SHW146,13,灿辉晶典1733,0.95,11
SHW146,14,象屿招商蟠龙府1期,0.62,11
SHW146,15,象屿招商蟠龙府1期,0.6,11
SHW146,16,招商象屿蟠龙府2期,0.5,10
SHW146,17,夏都小镇新舍汇,0.6,10
SHW146,18,西郊丽源,1.4,10
SHW146,19,西郊华城,0.38,10
SHW146,20,虹桥璀璨公馆,0.29,10
SHW146,21,招商象屿蟠龙府2期,0.57,10
SHW146,22,实港·华弋科创园,3.08,10
SHW146,23,中铁·虹桥逸都,0.9,10
SHW146,24,夏都小镇新舍汇,0.6,10
SHW146,25,居礼苑,0.14,10
SHW146,26,金地虹悦湾西区,2.3,9
SHW146,27,CHIC栖窠社区,1.82,9
SHW146,28,西郊丽源,1.34,9
SHW146,29,虹桥璀璨公馆,0.29,9
SHW146,30,虹桥璀璨公馆,0.29,9
SHW146,31,圣堡别墅,2.35,9
SHW146,32,中大·九里德3期,2.27,8
SHW146,33,西郊华城,0.54,8
SHW146,34,虹桥·灿耀星城星尚庭,1.75,8
SHW146,35,西郊·紫郡别墅,1.57,8
SHW146,36,伊甸雅苑,2.93,8
SHW146,37,新虹桥亚洲花园,0.34,8
SHW146,38,大华·西郊别墅,1.43,8
SHW146,39,中核科创园—和寓(西区),1.03,8
SHW146,40,美第奇意式屋Medici Bistro(竞衡大业广场店),2.43,8
SHW146,41,西郊华城,0.58,8
SHW146,42,象屿招商蟠龙府1期,0.56,8
SHW146,43,沁风雅泾轩,1.21,8
SHW146,44,绿地虹桥世界中心,1.88,7
SHW146,45,新虹桥·君悦湾墅,2.03,7
SHW146,46,龙信虹桥御澜,2.32,7
SHW146,47,无群租小区,2.06,7
SHW146,48,首位D01写字楼,2.06,7
SHW146,49,象屿招商蟠龙府1期,0.56,7
SHW146,50,虹桥璀璨公馆,0.3,7
BJBS35,1,朝阳一墅,8.65,24
BJBS35,2,颐堤港一座,0.12,22
BJBS35,3,飘Home小区,0.22,21
BJBS35,4,颐堤港,0.04,17
BJBS35,5,晶都国际,0.41,14
BJBS35,6,飘Home小区,0.26,13
BJBS35,7,上东商业(阳光上东滨河花园店),0.87,11
BJBS35,8,晏河湾家园八区,5.41,10
BJBS35,9,丽都东镇滨河一号,1.35,10
BJBS35,10,上东郡,1.32,10
BJBS35,11,颐堤港2座,0.16,9
BJBS35,12,阳光上东,0.8,9
BJBS35,13,丽都水岸A区,0.63,9
BJBS35,14,龙湖蓝海引擎(酒仙桥社区),0.96,9
BJBS35,15,东坝恒大城市下沉广场,3.48,8
BJBS35,16,电子城·国际电子总部6B座,1.19,8
BJBS35,17,将府家园北里,1.27,8
BJBS35,18,诺金写字楼,1.13,8
BJBS35,19,京投发展·北熙区三期(建设中),4.4,8
BJBS35,20,恒通国际商务园-B32,1.06,8
BJBS35,21,芳园里南区,0.61,8
BJBS35,22,索易商捷(颐堤港)商务中心,0.11,8
BJBS35,23,酒仙桥十一街坊,1.05,7
BJBS35,24,银河湾,1.26,7
BJBS35,25,丽都悦府,1.09,7
BJBS35,26,奉善斋(丽都广场店),1.41,7
BJBS35,27,海润国际公寓,1.01,6
BJBS35,28,北京爱尚社区,1.76,6
BJBS35,29,丽港大厦B座,0.67,6
BJBS35,30,北京时尚设计广场A25号,1.41,6
BJBS35,31,花家地小区(东北门),2.39,6
BJBS35,32,阳光上东,0.82,6
BJBS35,33,安徒生花园,0.48,6
BJBS35,34,晶都国际,0.43,6
BJBS35,35,星城国际公寓B座,1.07,6
BJBS35,36,兆维工业园,0.42,6
BJBS35,37,万科时代中心D座,2.26,6
BJBS35,38,颐堤港一座,0.13,6
BJBS35,39,海润国际公寓,1.03,6
BJBS35,40,丽都壹号南区,1.58,6
BJBS35,41,上东商业(阳光上东滨河花园店),1.02,5
BJBS35,42,墨里茶记·茶馆·商务·会议,0.51,5
BJBS35,43,安徒生花园,0.49,5
BJBS35,44,电子城·IT产业园,2.03,5
BJBS35,45,东润枫景28号院,1.63,5
BJBS35,46,颐堤港,0.04,5
BJBS35,47,颐堤港2座,0.14,5
BJBS35,48,将府公园,2.08,5
BJBS35,49,东煌大厦,1.98,5
BJBS35,50,东坝艺术广场,2.22,5
GZW12,1,白云文化广场(地铁站),1.07,32
GZW12,2,云霄大厦,0.73,23
GZW12,3,中国南方航空大厦,0.21,16
GZW12,4,保利云禧,1.75,16
GZW12,5,[],1.99,16
GZW12,6,广州设计之都时光汇·红点艺术广场,4.77,15
GZW12,7,白云文化广场地铁站B口,1.06,13
GZW12,8,陈田福庆花园,3.59,13
GZW12,9,白云文化广场地铁站B口,0.88,12
GZW12,10,白云文化广场(地铁站),1.0,12
GZW12,11,万达广场-A区写字楼A1栋,0.65,12
GZW12,12,寿司郎(凯德广场·云尚店),0.01,11
GZW12,13,强盛商务大厦,3.64,11
GZW12,14,盈翠华庭,1.32,10
GZW12,15,南航空乘1号公寓,0.85,10
GZW12,16,创意园栋,0.95,9
GZW12,17,保利华润·紫云A区,2.16,9
GZW12,18,乐馨美居S(粤海.云港城店),0.21,9
GZW12,19,广州白云国际会议中心-西广场,1.51,9
GZW12,20,泊寓未来森林店前台,3.59,8
GZW12,21,无限极广场B座,1.28,8
GZW12,22,云璟汇,0.27,8
GZW12,23,岭南新世界五区公建配套楼,6.8,8
GZW12,24,白云绿地中心,0.01,8
GZW12,25,保利·白云山庄,3.61,7
GZW12,26,下塘西小区,4.3,7
GZW12,27,联富大厦北大堂,1.45,7
GZW12,28,白云绿地中心,0.02,7
GZW12,29,广州设计之都创客空间A5栋,4.86,7
GZW12,30,碧桂园·云立方,1.25,7
GZW12,31,旺客商务公寓(新市天地新市墟地铁站店),1.09,7
GZW12,32,白云高尔夫花园东区-新月居C座,2.18,7
GZW12,33,白云文化广场地铁站B口,0.92,6
GZW12,34,田心雅苑,3.71,6
GZW12,35,广东外语外贸大学北校区留学生公寓,2.87,6
GZW12,36,万科·喜悦里,2.18,6
GZW12,37,万达广场A2栋,0.58,6
GZW12,38,缤纷天地,0.09,6
GZW12,39,云霄大厦,0.74,6
GZW12,40,龙口穗新工业园B座,3.69,6
GZW12,41,汇侨新城,2.34,6
GZW12,42,东呈集团鼎盛楼,2.3,6
GZW12,43,晓翠苑,1.58,6
GZW12,44,联鸣商贸中心A座,2.31,6
GZW12,45,宏鼎大厦1座,0.24,6
