Store_ID,门店名称,品牌,城市,商圈,业态,经度,纬度,是否子店,门店状态,开店日期,门店地址
SHBS48,上海今潮八弄,Baker & Spice,上海市,虹口区,Shopping Mall,121.484091,31.251098,否,已开业,2021-12-24,上海市虹口区滨港商业中心四川北路989弄78-95号108、109、110、111单元
SHBS27,上海1788国际大厦店,Baker & Spice,上海市,静安区,Office/BusinessPark,121.444163,31.222212,否,已开业,2020-01-08,上海市南京西路1818号1788国际大厦商场L1-06室
BJW11,北京环球贸易中心店,Wagas,北京市,东城区,Office/BusinessPark,116.410418,39.966483,否,已开业,2018-01-19,北京市东城区北三环东路36号3号楼1层09单元
SHW27,上海宝地广场,Wagas,上海市,杨浦区,Office/BusinessPark,121.511921,31.260328,否,已开业,2013-05-25,上海市杨浦区昆明路555号宝地广场D栋一层109单元
SHW54,上海虹桥龙湖天街店,Wagas,上海市,闵行区,Shopping Mall,121.313706,31.193149,否,已开业,2018-12-29,上海闵行区申长路869号1层02（A-1F-02）单元
SHW29,上海陆家嘴环路,Wagas,上海市,浦东新区,Office/BusinessPark,121.505639,31.242378,否,已开业,2014-05-06,上海市浦东新区陆家嘴环路1188号L1商铺
SHBS55,七宝领展广场,Baker & Spice,上海市,闵行区,Shopping Mall,121.349967,31.155145,否,已开业,2022-11-25,上海市闵行区漕宝路3366号1层L109D室
HZW10,杭州滨江银泰,Wagas,杭州市,滨江区,Shopping Mall,120.221591,30.200919,否,已开业,2022-08-16,浙江省杭州市滨江区滨和路598号1号楼A-132
SHW11,上海96广场,Wagas,上海市,浦东新区,Shopping Mall,121.524414,31.226926,否,已开业,2008-11-28,上海市浦东新区东方路796号96广场171单元
CDW10,成都大魔方,Wagas,成都市,武侯区,Shopping Mall,104.069945,30.574381,否,已开业,2022-10-28,四川省成都市高新区天府大道北段1777号L1046
SHBS16,上海置汇旭辉店,Baker & Spice,上海市,浦东新区,Shopping Mall,121.554654,31.242808,否,已开业,2018-09-22,上海市浦东新区张杨路2389弄4号置汇旭辉广场购物中心一层04室
SHW57,上海大宁音乐广场店,Wagas,上海市,静安区,Office/BusinessPark,121.444115,31.280301,否,已开业,2019-03-25,上海市静安区万荣路777号大宁音乐广场A座102室
SHLK12,上海蟠龙天地,Lokal,上海市,青浦区,Shopping Mall,121.275238,31.189127,否,已开业,2023-04-29,"上海市青浦区蟠龙路蟠龙天地BW128,LY101"
SHBS51,上海环球金融中心,Baker & Spice,上海市,浦东新区,Office/BusinessPark,121.50781,31.23426,否,已开业,2023-02-20,上海市浦东新区世纪大道100号210商铺
SHBS15,上海凯德晶萃店,Baker & Spice,上海市,徐汇区,Shopping Mall,121.477303,31.210246,否,已开业,2018-09-22,上海市黄浦区徐家汇路268号1-20号
SHBS29,上海外滩金融中心店,Baker & Spice,上海市,黄浦区,Shopping Mall,121.4979,31.22715,否,已开业,2020-09-21,上海巿黄浦区中山东二路588号S126单元
BJBS10,北京祥云小镇Shine Hill,Baker & Spice,北京市,顺义区,Shopping Mall,116.536518,40.088741,否,已开业,2021-09-04,北京市顺义区安泰大街9号院中粮祥云小镇0310-101
SHBS37,上海幸福里谊园,Baker & Spice,上海市,徐汇区,Office/BusinessPark,121.432299,31.168039,否,已开业,2021-07-19,上海市徐汇区 漕宝路36号2号楼101室
SHW37,上海虹桥国际机场 T1店,Wagas,上海市,长宁区,Transportation center,121.345974,31.195359,否,已开业,2023-03-26,上海市长宁区迎宾一路700号虹桥机场一号航站楼5米层国际出发禁区I110室
NJW6,南京紫悦广场,Wagas,南京市,雨花台区,Shopping Mall,118.762534,31.978608,否,已开业,2021-07-17,南京市雨花台区安德门大街36号紫悦广场F1-17号
CQW3,重庆大悦城,Wagas,重庆市,渝中区,Shopping Mall,106.571686,29.720477,否,已开业,2022-04-22,重庆市渝北区公园北路秋城大道路口L106号
SHW93,上海维璟印象城,Wagas,上海市,闵行区,Shopping Mall,121.36331,31.131455,否,已开业,2021-11-13,上海市闵行区七莘路1507号1层01-024-X1号商铺
SHW46,上海江浦路店,Wagas,上海市,杨浦区,Street-front,121.517921,31.275702,否,已开业,2018-06-26,上海市杨浦区江浦路1515号A103室
SHBS21,上海打浦桥日月光店,Baker & Spice,上海市,黄浦区,Shopping Mall,121.468066,31.20682,否,已开业,2019-02-21,上海市黄浦区徐家汇路618号1F-XJH02，1F-XJH04室
SHW31,上海中山公园龙之梦,Wagas,上海市,长宁区,Shopping Mall,121.416947,31.219309,否,已开业,2014-12-17,上海市长宁区长宁路1018号1层1051B号
BJBS12,北京金地店,Baker & Spice,北京市,朝阳区,Shopping Mall,116.474464,39.90913,否,已开业,2022-06-16,北京市朝阳区建国路91号金地广场B座一层L108-109
BJW43,北京尚东数字谷,Wagas,北京市,海淀区,Office/BusinessPark,116.289105,40.043084,否,已开业,2022-01-24,北京市海淀区东北旺西路8号42号楼地下一层104号
BJW5,北京富力广场,Wagas,北京市,朝阳区,Shopping Mall,116.460657,39.896119,否,已开业,2016-01-18,北京市朝阳区东三环中路63号富力中心1层A102内
HZW14,杭州萧山万象汇,Wagas,杭州市,萧山区,Shopping Mall,120.268878,30.181811,否,已开业,2022-12-02,浙江省杭州市萧山区北干街道金城路927号杭州萧山万象汇L171号
GZW3,广州中天购物城,Wagas,广州市,天河区,Shopping Mall,113.325452,23.142678,否,已开业,2021-01-15,广州市天河区天河北路233号首层144-145
SHW60,上海龙华绿地滨江店,Wagas,上海市,徐汇区,Shopping Mall,121.457962,31.164902,否,已开业,2019-07-08,上海徐汇区云锦路500号绿地滨江club一层1-02、1-04单元
CDW12,成都万科,Wagas,成都市,武侯区,Shopping Mall,104.061639,30.558099,否,已开业,2022-07-11,成都市高新区吉瑞二路188号1F-013商铺
SHW47,上海静安大融城店,Wagas,上海市,静安区,Shopping Mall,121.427181,31.279841,否,已开业,2018-06-29,上海市静安区沪太路1111弄1号楼静安大融城购物中心一层L101-1商铺
QDW1,青岛万象城店WA,Wagas,青岛市,市南区,Shopping Mall,120.3784,36.066786,否,已开业,2018-07-16,青岛市市南区山东路6号甲万象城LG层138号
BJW41,北京新世界,Wagas,北京市,朝阳区,Shopping Mall,116.47201,39.909504,否,已开业,2021-12-13,北京市朝阳区建国路93号北京新世界彩旋百货有限公司1层L01F117
SHW86,上海田林华鑫,Wagas,上海市,徐汇区,Office/BusinessPark,121.409911,31.169388,否,已开业,2021-04-12,上海市徐汇区田林路142号D1栋 1楼 103室
SHW49,上海人民广场来福士店,Wagas,上海市,黄浦区,Shopping Mall,121.476509,31.231895,否,已开业,2018-07-22,上海市黄浦区西藏中路268号来福士广场B1层19-20室
GZW2,广州K11店,Wagas,广州市,天河区,Shopping Mall,113.32569,23.117877,否,已开业,2021-01-30,广州市天河区珠江新城珠江东路6号广州周大福金融中心项目负一层B120号
BJBS9,北京富力城店,Baker & Spice,北京市,朝阳区,Shopping Mall,116.460622,39.895453,否,已开业,2020-01-18,北京市朝阳区东三环中路63号1层130-1室
SHW97,上海安垦,Wagas,上海市,静安区,Office/BusinessPark,121.441309,31.298636,否,已开业,2022-01-17,上海市静安区江场西路300号
SHW90,上海中环百联,Wagas,上海市,浦东新区,Shopping Mall,121.384555,31.245376,否,已开业,2022-06-29,上海市普陀区真光路1288号百联中环购物广场1层G08-1F-1-B1F084室
BJW46,京东北京1号园区店,Wagas,北京市,大兴区,Office/BusinessPark,116.562613,39.786798,否,已开业,2022-07-04,北京市科创十一街18号院1号楼京东总部1号楼1层B-1F-01、02室 
SZW20,深圳仁恒梦公园店,Wagas,深圳市,龙岗区,Shopping Mall,114.224707,22.729736,否,已开业,2023-04-28,广东省深圳市龙岗区榆龙路的仁恒梦中心项目第 LG 层 LG01 号
SHW7,上海浦东大拇指广场,Wagas,上海市,浦东新区,Shopping Mall,121.559683,31.22698,否,已开业,2007-02-25,上海市浦东新区芳甸路199弄证大大拇指广场31号
SHBS38,上海漕河泾印象城,Baker & Spice,上海市,徐汇区,Shopping Mall,121.399595,31.1618,否,已开业,2021-07-12,上海市徐汇区古美路1520号L1层07+08号
NJW2,南京金鹰新街口,Wagas,南京市,秦淮区,Shopping Mall,118.779653,32.041484,否,已开业,2017-08-03,南京市汉中路89号金鹰国际购物中心B座1层B1-010商铺
BJW24,北京东方广场店,Wagas,北京市,东城区,Shopping Mall,116.414504,39.909417,否,已开业,2019-07-07,北京市东长安街1号东方广场东方新天地PW2(16-17)号店铺
SHBS26,上海晶耀前滩店,Baker & Spice,上海市,浦东新区,Shopping Mall,121.478224,31.152924,否,已开业,2019-08-23,上海浦东新区耀体路308号一层L136店铺
