门店ID,门店名称,城市,poi_count,avg_cost,median_cost,avg_rating,top_categories,business_area,office_count,residential_count,metro_count,nearest_metro_km
SHW47,上海静安大融城店,上海市,50,54.4,36.0,4.12,"外国餐厅(10), 快餐厅(10), 咖啡厅(10)",彭浦镇,10,10,10,0.61
QDW1,青岛万象城店WA,青岛市,50,59.8,39.0,4.31,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",湛山,10,10,10,0.11
BJW41,北京新世界,北京市,50,57.7,31.0,4.07,"咖啡厅(11), 中餐厅(10), 外国餐厅(10)",大望路,10,10,10,0.27
SHW86,上海田林华鑫,上海市,49,42.3,30.0,4.08,"中餐厅(11), 外国餐厅(10), 休闲餐饮场所(10)",漕河泾,10,10,10,0.55
SHW49,上海人民广场来福士店,上海市,50,48.3,30.0,4.24,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",北京路,10,10,10,0.04
GZW2,广州K11店,广州市,50,80.6,37.0,4.35,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",冼村,10,10,10,0.16
BJBS9,北京富力城店,北京市,50,53.6,36.0,4.16,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",双井,10,10,10,0.18
SHW97,上海安垦,上海市,50,29.7,24.0,3.7,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",彭浦镇,10,10,10,1.0
SHW90,上海中环百联,上海市,50,49.7,30.0,3.87,"中餐厅(11), 外国餐厅(10), 咖啡厅(10)",真光,10,10,10,0.83
BJW46,京东北京1号园区店,北京市,45,41.2,26.0,4.02,"中餐厅(10), 咖啡厅(10), 外国餐厅(9)",北京经济技术开发区,10,10,10,0.32
SZW20,深圳仁恒梦公园店,深圳市,50,50.4,30.0,4.04,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",仁恒梦中心,10,10,10,0.12
SHW7,上海浦东大拇指广场,上海市,50,58.8,36.0,4.14,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",洋泾,10,10,10,0.52
SHBS38,上海漕河泾印象城,上海市,50,57.8,31.0,4.19,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",漕河泾,10,10,10,0.02
NJW2,南京金鹰新街口,南京市,49,45.2,30.0,4.15,"中餐厅(11), 外国餐厅(10), 休闲餐饮场所(10)",新街口,10,10,10,0.2
BJW24,北京东方广场店,北京市,50,62.8,47.0,4.12,"中餐厅(11), 外国餐厅(11), 咖啡厅(10)",东单,10,10,10,0.22
SHBS26,上海晶耀前滩店,上海市,50,63.2,38.0,4.35,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",三林,10,10,10,0.14
